Coalition,Date,Region or State,Adult ICU Empty ,Adult ICU Full,Adult Intensive Care Unit Staffed Bed Capacity,at_admission_confirmed_covid19_patients_in_24_hrs,at_admission_suspected_covid19_patients_in_24_hrs,ED COVID Visits Previous Day,ED Total Visits Previous Day,full_adult_icu_covid19_positive_patients,Hospitalized and Ventilated COVID Inpatient Count,ICU Licensed Beds,Inpatient Empty Beds (all types),Inpatient Full (all bed types),Licensed Inpatient Beds,Number of COVID-19 Positive Patients In Hospital,Parent Name,TOTAL Staffed Inpatient Capacity (all bed types),Ventilator available,Ventilator used (not specific to COVID-19)
SHPR,12/6/2020,State,36,55,91,7,12,100,431,9,7,112,286,731,1392,65,6,1017,151,23
CapRAC,11/30/2020,State,25,144,169,7,25,318,1044,37,20,203,183,938,1418,133,7,1121,140,60
THPC,4/5/2021,State,128,385,513,35,9,162,1697,56,24,926,1515,3345,6070,206,28,4860,622,188
MAHPC,6/23/2021,State,60,119,179,3,20,60,947,3,2,247,473,1026,1979,15,16,1499,146,37
MCRHC,3/7/2021,State,97,371,468,9,31,112,1143,55,19,468,845,1926,3301,164,12,2771,460,139
EHPC,7/29/2020,State,52,211,263,17,31,,,38,,420,671,1803,3851,118,16,2474,288,129
DHPC,7/8/2020,State,23,162,185,17,1,,,34,,424,369,1432,2640,108,6,1801,161,77
MAHPC,4/12/2020,State,61,76,137,,,,,,,247,402,575,1979,10,8,977,142,33
SHPR,9/21/2020,State,41,36,77,3,16,85,400,5,3,112,326,690,1392,24,6,1016,144,26
SHPR,9/12/2020,State,28,49,77,1,18,58,410,7,6,112,248,766,1392,29,6,1014,105,65
MCRHC,10/3/2020,State,98,372,470,12,106,218,1394,33,18,468,662,2015,3301,118,12,2677,462,132
MHPC,5/8/2020,State,117,423,540,,,,,,,687,1226,2916,4815,93,16,4142,755,130
DHPC,3/7/2021,State,26,162,188,10,6,61,622,43,32,424,372,1363,2640,143,7,1735,150,92
MCRHC,12/7/2020,State,76,394,470,35,56,231,1385,70,25,468,615,2141,3301,270,12,2756,473,126
MCRHC,6/28/2020,State,84,305,389,8,60,,,34,,468,467,1456,3301,86,7,1923,408,88
SHPR,7/12/2020,State,11,58,69,7,3,,,16,,112,151,819,1392,56,5,970,129,37
EHPC,5/14/2021,State,87,221,308,17,11,197,1786,25,20,420,845,2124,3851,112,19,2969,382,140
MHPC,11/17/2020,State,79,348,427,41,141,599,2486,84,50,687,1059,3587,4815,358,18,4646,568,252
CapRAC,4/9/2021,State,26,151,177,6,9,297,1237,25,16,203,201,958,1418,81,7,1159,136,64
MCRHC,12/15/2020,State,75,398,473,59,76,245,1451,83,37,468,497,2263,3301,327,12,2760,435,164
CapRAC,5/31/2021,State,41,136,177,1,11,251,1136,16,4,203,222,935,1418,41,7,1157,168,42
EHPC,6/14/2021,State,81,225,306,5,14,141,1964,20,13,420,754,2104,3851,85,19,2858,370,152
CapRAC,5/28/2021,State,37,140,177,5,13,281,1264,20,4,203,179,978,1418,45,7,1157,169,41
MHPC,8/30/2020,State,115,317,432,21,85,0,0,54,44,687,1236,3450,4815,250,16,4686,572,210
MHPC,7/27/2020,State,83,324,407,34,69,,,94,,687,1179,2926,4815,349,15,4105,550,223
THPC,4/21/2020,State,241,291,532,,,,,,,926,1626,2453,6070,38,20,4079,465,121
EHPC,8/30/2020,State,85,180,265,35,35,59,484,42,18,420,864,1652,3851,131,15,2516,267,124
DHPC,7/6/2020,State,24,156,180,11,5,,,32,,424,405,1379,2640,107,6,1784,145,94
THPC,5/16/2021,State,110,387,497,21,7,205,1799,69,41,926,1454,3225,6070,179,27,4679,587,203
MCRHC,3/15/2021,State,98,369,467,11,33,148,1235,40,13,468,713,2054,3301,130,12,2767,455,144
THPC,2/16/2021,State,89,475,564,96,16,194,1734,102,60,926,1353,3711,6070,495,29,5064,592,236
MAHPC,1/28/2021,State,60,145,205,22,31,125,743,43,17,247,511,1044,1979,167,16,1555,138,49
MCRHC,3/31/2021,State,110,360,470,19,18,155,1382,40,10,468,608,2166,3301,133,12,2774,477,122
THPC,7/24/2020,State,148,434,582,19,75,,,85,,926,1680,3316,6070,265,23,4996,484,208
MAHPC,2/10/2021,State,78,127,205,14,45,95,734,26,14,247,531,1024,1979,116,16,1555,129,57
DHPC,1/22/2021,State,10,179,189,25,5,113,648,65,44,424,294,1465,2640,276,7,1759,144,98
MCRHC,4/28/2020,State,129,230,359,,,,,,,468,775,1971,3301,84,10,2746,316,107
MAHPC,2/24/2021,State,84,111,195,7,36,103,799,18,9,247,567,988,1979,62,16,1555,139,47
MHPC,1/15/2021,State,43,413,456,96,77,704,2212,235,143,687,1100,3700,4815,982,18,4800,581,332
MCRHC,8/22/2020,State,95,359,454,15,101,,,42,,468,702,1966,3301,130,10,2668,481,113
MAHPC,12/3/2020,State,50,129,179,38,49,69,335,30,18,247,416,1073,1979,117,16,1489,126,63
DHPC,5/3/2021,State,24,170,194,8,3,36,684,32,19,424,318,1465,2640,100,7,1783,147,95
DHPC,2/6/2021,State,14,173,187,19,8,79,675,62,47,424,256,1491,2640,223,7,1747,136,106
MAHPC,3/19/2021,State,99,96,195,3,25,79,818,7,1,247,583,977,1979,41,16,1560,145,41
SHPR,2/8/2021,State,36,61,97,12,17,101,397,17,14,112,267,734,1392,101,6,1001,133,41
SHPR,1/29/2021,State,35,61,96,12,24,84,434,16,15,112,243,771,1392,108,6,1014,129,45
SHPR,9/3/2020,State,43,34,77,8,26,75,399,6,4,112,272,742,1392,36,6,1014,114,56
CapRAC,1/23/2021,State,10,159,169,9,25,325,1044,69,31,203,177,990,1418,250,7,1167,125,75
EHPC,4/23/2021,State,91,215,306,20,14,214,1820,36,21,420,868,2102,3851,156,19,2970,396,129
MAHPC,4/9/2021,State,87,107,194,3,26,33,362,15,9,247,509,1051,1979,44,16,1560,149,37
MHPC,5/26/2021,State,72,367,439,14,17,246,2715,44,27,687,1021,3801,4815,144,18,4822,632,223
MCRHC,10/27/2020,State,87,384,471,16,31,197,1479,32,12,468,604,2119,3301,133,12,2723,462,132
MHPC,5/11/2021,State,63,376,439,31,24,334,2861,71,38,687,1115,3702,4815,235,18,4817,617,240
MHPC,6/3/2020,State,62,387,449,42,100,,,61,,687,803,3339,4815,142,16,4142,501,218
SHPR,5/12/2021,State,37,65,102,3,10,103,524,12,10,112,247,789,1392,36,6,1036,134,40
MCRHC,2/9/2021,State,83,388,471,25,47,198,1483,84,32,468,662,2122,3301,302,12,2784,435,164
EHPC,11/20/2020,State,65,233,298,39,32,203,1583,45,26,420,799,2136,3851,206,19,2935,341,140
CapRAC,5/8/2021,State,38,139,177,3,12,303,1179,21,8,203,195,961,1418,84,7,1156,165,45
MHPC,9/5/2020,State,104,301,405,28,88,35,220,80,52,687,1257,2977,4815,237,15,4234,526,207
CapRAC,10/19/2020,State,34,135,169,1,13,157,920,19,5,203,201,874,1418,64,7,1075,175,25
DHPC,3/1/2021,State,18,170,188,11,1,83,622,46,36,424,289,1481,2640,149,7,1770,139,103
CapRAC,6/20/2021,State,37,140,177,1,6,227,1230,7,4,203,200,954,1418,31,7,1154,166,44
EHPC,5/26/2020,State,95,175,270,,,,,,,420,841,1506,3851,114,18,2347,349,112
SHPR,3/9/2021,State,46,55,101,3,13,90,490,7,11,112,292,747,1392,54,6,1039,137,37
MCRHC,11/2/2020,State,98,373,471,7,44,169,1360,37,15,468,664,2052,3301,144,12,2716,455,139
MAHPC,7/27/2020,State,73,104,177,5,41,,,19,,247,490,839,1979,60,16,1329,136,46
DHPC,2/13/2021,State,15,164,179,13,2,70,649,60,41,424,406,1349,2640,182,7,1755,147,95
CapRAC,6/12/2020,State,47,177,224,8,5,,,52,,203,426,1593,1418,123,5,2019,235,93
CapRAC,5/29/2021,State,36,141,177,6,19,277,1198,22,4,203,191,966,1418,51,7,1157,171,39
CapRAC,9/8/2020,State,40,129,169,2,23,52,400,21,13,203,262,815,1418,59,6,1077,162,38
MAHPC,4/28/2021,State,70,124,194,8,26,103,911,13,9,247,509,1017,1979,65,16,1526,132,54
DHPC,9/19/2020,State,19,146,165,33,6,39,633,22,17,424,393,1340,2640,69,6,1733,166,72
THPC,3/11/2021,State,111,426,537,36,8,189,1730,66,30,926,1475,3531,6070,236,28,5006,608,202
DHPC,12/29/2020,State,17,172,189,48,10,130,786,45,22,424,336,1459,2640,237,7,1795,150,91
SHPR,4/19/2020,State,0,6,6,,,,,,,112,18,62,1392,3,3,80,21,0
SHPR,4/12/2020,State,15,6,21,,,,,,,112,110,82,1392,3,3,192,25,3
SHPR,6/28/2020,State,15,50,65,6,2,,,7,,112,161,733,1392,41,3,894,121,40
SHPR,4/18/2020,State,0,6,6,,,,,,,112,31,66,1392,6,4,97,25,0
SHPR,4/10/2020,State,0,6,6,,,,,,,112,50,73,1392,0,4,123,23,2
SHPR,5/11/2020,State,27,40,67,,,,,,,112,264,658,1392,10,4,922,138,23
SHPR,6/20/2020,State,9,54,63,3,1,,,14,,112,148,730,1392,29,4,878,110,43
SHPR,6/27/2020,State,15,48,63,5,6,,,7,,112,121,756,1392,37,4,877,116,37
SHPR,5/5/2020,State,9,9,18,,,,,,,112,71,125,1392,8,5,196,45,1
SHPR,5/20/2020,State,10,62,72,,,,,,,112,123,824,1392,22,5,947,128,36
SHPR,4/8/2020,State,14,54,68,,,,,,,112,242,601,1392,13,5,843,174,29
SHPR,5/23/2020,State,14,55,69,,,,,,,112,242,705,1392,13,5,947,429,35
SHPR,5/18/2020,State,16,53,69,,,,,,,112,220,727,1392,22,5,947,133,31
SHPR,5/28/2020,State,17,52,69,,,,,,,112,137,810,1392,28,5,947,131,33
SHPR,5/31/2020,State,18,47,65,,,,,,,112,207,733,1392,26,5,940,135,32
SHPR,5/21/2020,State,20,49,69,,,,,,,112,161,786,1392,21,5,947,132,32
SHPR,4/17/2020,State,23,36,59,,,,,,,112,402,495,1392,12,5,897,173,29
SHPR,4/16/2020,State,24,36,60,,,,,,,112,364,537,1392,18,5,901,189,14
SHPR,5/8/2020,State,27,45,72,,,,,,,112,240,707,1392,16,5,947,137,27
SHPR,5/9/2020,State,30,38,68,,,,,,,112,307,633,1392,11,5,940,138,29
SHPR,4/22/2020,State,31,28,59,,,,,,,112,273,633,1392,8,5,906,182,21
SHPR,4/26/2020,State,32,33,65,,,,,,,112,305,600,1392,14,5,905,191,11
SHPR,4/24/2020,State,33,31,64,,,,,,,112,255,650,1392,15,5,905,183,19
SHPR,4/14/2020,State,57,36,93,,,,,,,112,328,625,1392,17,5,953,182,29
SHPR,8/12/2020,State,27,44,71,1,27,,,8,,112,255,651,1392,31,5,906,129,28
SHPR,8/28/2020,State,45,26,71,1,27,73,342,2,2,112,260,675,1392,29,5,935,103,54
SHPR,8/9/2020,State,18,53,71,2,0,,,10,,112,293,614,1392,38,5,907,122,35
SHPR,6/21/2020,State,11,58,69,2,1,,,15,,112,164,774,1392,33,5,938,122,44
SHPR,7/17/2020,State,24,53,77,2,7,,,16,,112,270,699,1392,57,5,969,126,39
SHPR,9/17/2020,State,37,34,71,2,25,79,351,6,5,112,241,707,1392,32,5,948,95,62
SHPR,10/8/2020,State,32,39,71,3,36,84,492,10,8,112,214,734,1392,41,5,948,129,28
SHPR,7/23/2020,State,28,49,77,4,1,,,17,,112,249,704,1392,60,5,953,133,33
SHPR,7/15/2020,State,16,61,77,4,3,,,16,,112,235,720,1392,58,5,955,125,40
SHPR,6/13/2020,State,13,56,69,4,4,,,17,,112,156,791,1392,35,5,947,131,35
SHPR,7/14/2020,State,9,60,69,5,3,,,17,,112,88,882,1392,62,5,970,124,40
SHPR,7/4/2020,State,14,55,69,7,1,,,12,,112,157,780,1392,43,5,937,133,33
SHPR,6/30/2020,State,9,60,69,8,1,,,10,,112,96,841,1392,52,5,937,129,37
SHPR,7/13/2020,State,18,51,69,8,2,,,17,,112,78,892,1392,64,5,970,124,40
SHPR,7/11/2020,State,11,58,69,8,6,,,14,,112,101,869,1392,59,5,970,123,41
SHPR,10/6/2020,State,40,37,77,10,29,116,490,8,6,112,254,737,1392,40,5,991,136,30
SHPR,5/30/2020,State,12,57,69,,,,,,,112,167,798,1392,27,6,965,138,32
SHPR,5/27/2020,State,16,53,69,,,,,,,112,140,825,1392,26,6,965,139,31
SHPR,5/29/2020,State,17,52,69,,,,,,,112,112,853,1392,26,6,965,142,28
SHPR,6/2/2020,State,17,52,69,,,,,,,112,183,782,1392,25,6,965,138,35
SHPR,5/14/2020,State,18,54,72,,,,,,,112,120,845,1392,14,6,965,147,24
SHPR,5/12/2020,State,18,53,71,,,,,,,112,187,778,1392,14,6,965,67,103
SHPR,5/22/2020,State,20,48,68,,,,,,,112,193,772,1392,20,6,965,140,30
SHPR,5/16/2020,State,22,50,72,,,,,,,112,247,718,1392,19,6,965,144,26
SHPR,4/30/2020,State,22,47,69,,,,,,,112,288,677,1392,16,6,965,143,27
SHPR,4/20/2020,State,24,41,65,,,,,,,112,420,556,1392,15,6,976,186,29
SHPR,5/26/2020,State,24,48,72,,,,,,,112,222,743,1392,27,6,965,139,31
SHPR,5/15/2020,State,25,47,72,,,,,,,112,175,790,1392,20,6,965,148,22
SHPR,6/1/2020,State,25,44,69,,,,,,,112,229,736,1392,25,6,965,134,36
SHPR,4/29/2020,State,26,42,68,,,,,,,112,285,677,1392,17,6,962,171,47
SHPR,4/27/2020,State,28,41,69,,,,,,,112,334,646,1392,17,6,980,187,27
SHPR,5/10/2020,State,30,42,72,,,,,,,112,334,631,1392,14,6,965,147,23
SHPR,4/21/2020,State,30,35,65,,,,,,,112,359,653,1392,14,6,1012,187,28
SHPR,5/4/2020,State,30,42,72,,,,,,,112,274,691,1392,14,6,965,139,31
SHPR,5/3/2020,State,30,42,72,,,,,,,112,315,650,1392,15,6,965,137,33
SHPR,4/23/2020,State,41,28,69,,,,,,,112,300,681,1392,10,6,981,191,25
SHPR,4/13/2020,State,52,41,93,,,,,,,112,376,600,1392,18,6,976,183,32
SHPR,4/15/2020,State,55,38,93,,,,,,,112,413,594,1392,21,6,1007,184,28
SHPR,7/22/2020,State,6,9,15,0,2,,,16,,112,23,157,1392,59,6,180,42,2
SHPR,8/16/2020,State,31,46,77,0,20,,,8,,112,302,660,1392,23,6,962,136,33
SHPR,4/10/2021,State,56,48,104,0,8,61,509,0,0,112,322,716,1392,22,6,1038,149,25
SHPR,4/5/2021,State,58,44,102,0,12,77,420,1,0,112,333,703,1392,29,6,1036,149,25
SHPR,8/30/2020,State,49,28,77,0,24,64,349,3,1,112,313,687,1392,32,6,1000,119,51
SHPR,6/23/2021,State,40,62,102,0,15,100,525,1,3,112,226,792,1392,18,6,1018,126,48
SHPR,9/18/2020,State,35,42,77,0,17,62,357,6,4,112,261,760,1392,32,6,1021,112,58
SHPR,6/16/2021,State,39,63,102,0,11,96,568,4,5,112,185,851,1392,24,6,1036,131,43
SHPR,6/4/2021,State,39,62,101,0,7,84,505,3,7,112,232,803,1392,24,6,1035,129,45
SHPR,6/6/2021,State,38,63,101,0,7,100,521,4,8,112,286,749,1392,24,6,1035,126,48
SHPR,6/7/2021,State,41,60,101,0,9,80,516,4,8,112,286,749,1392,24,6,1035,127,47
SHPR,5/10/2021,State,47,54,101,0,15,85,458,11,9,112,326,709,1392,38,6,1035,141,33
SHPR,5/23/2021,State,41,62,103,0,12,96,509,9,12,112,282,755,1392,34,6,1037,133,41
SHPR,8/3/2020,State,23,54,77,1,2,,,11,,112,332,649,1392,37,6,981,132,38
SHPR,6/22/2020,State,22,47,69,1,3,,,15,,112,152,813,1392,32,6,965,124,46
SHPR,6/12/2020,State,11,58,69,1,7,,,19,,112,92,873,1392,36,6,965,129,41
SHPR,8/20/2020,State,43,34,77,1,22,,,6,,112,281,719,1392,31,6,1000,107,63
SHPR,8/22/2020,State,37,40,77,1,26,,,9,,112,303,692,1392,30,6,995,108,62
SHPR,4/11/2021,State,53,51,104,1,12,83,479,0,0,112,337,701,1392,19,6,1038,151,23
SHPR,4/26/2021,State,62,41,103,1,16,83,447,4,2,112,303,735,1392,28,6,1038,154,20
SHPR,9/19/2020,State,38,39,77,1,22,63,365,6,2,112,280,736,1392,32,6,1016,142,28
SHPR,6/20/2021,State,42,60,102,1,12,45,604,2,3,112,295,741,1392,19,6,1036,132,42
SHPR,6/19/2021,State,38,64,102,1,13,93,542,3,4,112,260,758,1392,22,6,1018,123,51
SHPR,6/13/2021,State,35,67,102,1,16,76,530,2,6,112,288,748,1392,24,6,1036,132,42
SHPR,9/26/2020,State,42,35,77,1,30,69,436,5,6,112,289,727,1392,23,6,1016,142,28
SHPR,3/5/2021,State,36,64,100,1,13,90,456,8,7,112,298,740,1392,50,6,1038,136,38
SHPR,6/3/2021,State,44,58,102,1,13,91,557,4,8,112,219,817,1392,30,6,1036,131,43
SHPR,5/15/2021,State,41,62,103,1,14,75,536,8,8,112,262,775,1392,32,6,1037,130,44
SHPR,5/3/2021,State,60,43,103,1,14,102,533,9,8,112,308,729,1392,30,6,1037,145,29
SHPR,5/17/2021,State,43,60,103,1,14,99,506,8,9,112,301,736,1392,33,6,1037,133,41
SHPR,5/13/2021,State,31,71,102,1,18,83,468,9,9,112,250,786,1392,33,6,1036,135,39
SHPR,5/9/2021,State,52,49,101,1,11,86,528,12,10,112,297,738,1392,37,6,1035,142,32
SHPR,5/19/2021,State,32,71,103,1,14,104,526,8,10,112,219,818,1392,31,6,1037,136,38
SHPR,5/24/2021,State,44,59,103,1,8,96,550,9,11,112,283,754,1392,32,6,1037,132,42
SHPR,7/1/2020,State,6,63,69,2,2,,,12,,112,55,900,1392,44,6,955,134,36
SHPR,6/17/2020,State,8,61,69,2,5,,,18,,112,44,921,1392,33,6,965,133,37
SHPR,7/28/2020,State,22,55,77,2,6,,,15,,112,295,686,1392,48,6,981,135,35
SHPR,8/17/2020,State,34,43,77,2,24,,,9,,112,320,691,1392,26,6,1011,108,62
SHPR,8/13/2020,State,29,48,77,2,26,,,10,,112,272,699,1392,35,6,971,140,30
SHPR,8/21/2020,State,33,44,77,2,27,,,9,,112,270,725,1392,32,6,995,102,68
SHPR,4/7/2021,State,49,54,103,2,12,83,492,1,0,112,282,755,1392,21,6,1037,144,30
SHPR,6/24/2021,State,41,61,102,2,9,80,595,3,3,112,240,778,1392,20,6,1018,131,43
SHPR,3/17/2021,State,41,59,100,2,16,86,438,6,5,112,253,785,1392,38,6,1038,142,32
SHPR,10/3/2020,State,39,38,77,2,18,68,445,7,5,112,300,716,1392,23,6,1016,143,27
SHPR,11/8/2020,State,39,38,77,2,19,89,444,5,5,112,293,717,1392,40,6,1010,142,32
SHPR,11/9/2020,State,41,36,77,2,26,86,444,7,5,112,277,733,1392,44,6,1010,143,31
SHPR,10/1/2020,State,39,38,77,2,27,84,490,7,5,112,263,753,1392,24,6,1016,145,25
SHPR,6/10/2021,State,39,63,102,2,9,106,545,3,6,112,237,799,1392,23,6,1036,126,48
SHPR,6/15/2021,State,31,71,102,2,9,111,615,5,6,112,228,808,1392,26,6,1036,131,43
SHPR,6/12/2021,State,39,63,102,2,13,88,570,3,6,112,279,757,1392,23,6,1036,119,55
SHPR,9/7/2020,State,38,39,77,2,16,61,408,9,6,112,286,728,1392,29,6,1014,131,39
SHPR,9/24/2020,State,37,40,77,2,22,86,477,7,6,112,282,734,1392,32,6,1016,139,31
SHPR,10/23/2020,State,33,44,77,2,29,100,454,14,10,112,229,781,1392,55,6,1010,143,31
SHPR,3/8/2021,State,43,58,101,2,12,74,395,7,11,112,334,705,1392,57,6,1039,132,42
SHPR,8/8/2020,State,20,57,77,3,2,,,9,,112,287,680,1392,41,6,967,137,33
SHPR,8/7/2020,State,24,53,77,3,2,,,10,,112,268,705,1392,40,6,973,135,35
SHPR,6/9/2020,State,19,50,69,3,2,,,17,,112,179,783,1392,28,6,962,139,31
SHPR,6/4/2020,State,19,51,70,3,3,,,11,,112,138,827,1392,27,6,965,136,34
SHPR,8/1/2020,State,24,53,77,3,3,,,11,,112,284,691,1392,34,6,975,133,37
SHPR,6/6/2020,State,14,56,70,3,3,,,13,,112,193,772,1392,25,6,965,140,30
SHPR,6/18/2020,State,14,55,69,3,3,,,17,,112,94,871,1392,36,6,965,122,44
SHPR,8/6/2020,State,22,55,77,3,4,,,11,,112,276,691,1392,38,6,967,133,37
SHPR,8/23/2020,State,40,37,77,3,20,,,7,,112,320,675,1392,29,6,995,141,29
SHPR,8/18/2020,State,33,44,77,3,24,,,9,,112,264,736,1392,28,6,1000,107,63
SHPR,4/6/2021,State,52,50,102,3,12,107,520,1,0,112,330,706,1392,23,6,1036,144,30
SHPR,4/15/2021,State,48,54,102,3,16,108,516,1,1,112,297,739,1392,34,6,1036,147,27
SHPR,4/22/2021,State,43,61,104,3,7,93,502,5,2,112,245,793,1392,29,6,1038,146,28
SHPR,6/21/2021,State,46,56,102,3,8,85,515,1,3,112,287,731,1392,19,6,1018,136,38
SHPR,4/27/2021,State,48,55,103,3,10,100,566,4,3,112,274,764,1392,28,6,1038,155,19
SHPR,6/22/2021,State,42,60,102,3,17,112,616,1,3,112,213,805,1392,18,6,1018,133,41
SHPR,3/27/2021,State,47,55,102,3,7,90,481,5,4,112,285,751,1392,33,6,1036,143,31
SHPR,4/19/2021,State,45,59,104,3,8,84,587,6,4,112,306,732,1392,37,6,1038,148,26
SHPR,4/29/2021,State,54,49,103,3,10,107,525,4,4,112,235,803,1392,36,6,1038,156,18
SHPR,3/23/2021,State,33,69,102,3,13,118,501,5,4,112,263,773,1392,35,6,1036,138,36
SHPR,3/22/2021,State,43,60,103,3,5,70,444,5,5,112,322,715,1392,34,6,1037,142,32
SHPR,6/18/2021,State,34,68,102,3,8,73,542,3,5,112,221,797,1392,26,6,1018,127,47
SHPR,6/17/2021,State,38,64,102,3,10,92,590,5,5,112,228,790,1392,27,6,1018,133,41
SHPR,10/2/2020,State,46,31,77,3,22,82,494,7,5,112,253,763,1392,23,6,1016,145,25
SHPR,9/10/2020,State,36,41,77,3,23,73,419,8,5,112,259,755,1392,32,6,1014,138,32
SHPR,9/16/2020,State,30,47,77,3,33,52,366,7,5,112,243,780,1392,31,6,1023,102,68
SHPR,9/11/2020,State,34,43,77,3,33,73,424,7,5,112,251,763,1392,27,6,1014,132,38
SHPR,9/22/2020,State,36,41,77,3,34,80,445,5,5,112,296,720,1392,25,6,1016,116,54
SHPR,6/8/2021,State,37,65,102,3,13,106,596,3,6,112,240,796,1392,25,6,1036,124,50
SHPR,6/5/2021,State,35,66,101,3,8,80,497,3,7,112,257,778,1392,25,6,1035,123,51
SHPR,9/14/2020,State,41,36,77,3,11,70,376,9,7,112,305,709,1392,27,6,1014,110,60
SHPR,3/14/2021,State,47,53,100,3,12,75,468,6,7,112,304,734,1392,42,6,1038,132,42
SHPR,9/13/2020,State,34,43,77,3,19,67,358,8,7,112,280,734,1392,28,6,1014,107,63
SHPR,11/17/2020,State,44,47,91,3,27,101,548,7,7,112,238,773,1392,40,6,1011,146,28
SHPR,11/27/2020,State,40,51,91,3,14,83,392,15,8,112,317,698,1392,73,6,1015,140,34
SHPR,12/5/2020,State,37,54,91,3,16,78,486,10,8,112,244,766,1392,65,6,1010,147,27
SHPR,5/4/2021,State,54,48,102,3,18,129,567,9,8,112,271,765,1392,29,6,1036,145,29
SHPR,11/2/2020,State,39,38,77,3,21,63,453,12,8,112,303,707,1392,41,6,1010,142,32
SHPR,10/9/2020,State,32,45,77,3,33,99,507,14,8,112,219,791,1392,51,6,1010,148,26
SHPR,11/28/2020,State,35,56,91,3,16,81,500,15,9,112,319,696,1392,75,6,1015,141,33
SHPR,5/11/2021,State,30,71,101,3,18,134,588,11,9,112,272,763,1392,40,6,1035,139,35
SHPR,10/31/2020,State,39,38,77,3,29,86,454,12,9,112,278,732,1392,38,6,1010,141,33
SHPR,6/1/2021,State,45,56,101,3,12,98,550,3,10,112,263,772,1392,33,6,1035,132,42
SHPR,3/10/2021,State,45,56,101,3,11,72,454,7,11,112,278,761,1392,53,6,1039,134,40
SHPR,2/21/2021,State,34,66,100,3,11,68,428,10,11,112,266,729,1392,86,6,995,141,33
SHPR,5/25/2021,State,40,62,102,3,17,118,608,8,11,112,249,787,1392,28,6,1036,130,44
SHPR,10/25/2020,State,37,40,77,3,23,88,472,15,11,112,287,723,1392,55,6,1010,140,34
SHPR,5/20/2021,State,38,65,103,3,12,94,531,9,12,112,230,807,1392,38,6,1037,136,38
SHPR,5/22/2021,State,38,65,103,3,13,96,529,9,13,112,258,779,1392,32,6,1037,131,43
SHPR,7/30/2020,State,26,52,78,4,1,,,13,,112,261,714,1392,46,6,975,133,37
SHPR,6/11/2020,State,14,55,69,4,2,,,17,,112,126,839,1392,34,6,965,138,32
SHPR,6/10/2020,State,16,53,69,4,2,,,17,,112,111,854,1392,33,6,965,137,33
SHPR,7/7/2020,State,13,56,69,4,3,,,13,,112,81,907,1392,49,6,988,141,29
SHPR,7/31/2020,State,20,57,77,4,4,,,13,,112,265,710,1392,39,6,975,127,43
SHPR,6/15/2020,State,13,56,69,4,6,,,16,,112,137,828,1392,35,6,965,135,35
SHPR,8/25/2020,State,46,31,77,4,24,,,3,,112,300,701,1392,31,6,1001,111,59
SHPR,8/11/2020,State,24,53,77,4,33,,,9,,112,257,709,1392,43,6,966,144,26
SHPR,4/9/2021,State,48,55,103,4,10,84,502,0,0,112,288,749,1392,25,6,1037,145,29
SHPR,4/1/2021,State,52,50,102,4,14,86,469,2,1,112,263,773,1392,37,6,1036,150,24
SHPR,4/2/2021,State,46,56,102,4,12,65,506,2,2,112,274,762,1392,35,6,1036,152,22
SHPR,8/31/2020,State,44,33,77,4,17,61,347,5,2,112,297,703,1392,34,6,1000,118,52
SHPR,4/25/2021,State,63,40,103,4,9,74,481,4,3,112,309,729,1392,31,6,1038,153,21
SHPR,3/25/2021,State,48,54,102,4,8,82,476,3,4,112,256,780,1392,31,6,1036,143,31
SHPR,3/24/2021,State,40,61,101,4,8,99,487,4,4,112,234,801,1392,36,6,1035,139,35
SHPR,4/21/2021,State,49,55,104,4,10,84,515,8,4,112,260,778,1392,33,6,1038,149,25
SHPR,3/18/2021,State,47,56,103,4,14,92,419,4,4,112,269,768,1392,37,6,1037,146,28
SHPR,3/29/2021,State,47,55,102,4,15,89,474,4,4,112,297,739,1392,44,6,1036,144,30
SHPR,9/5/2020,State,38,39,77,4,25,78,395,9,4,112,278,741,1392,30,6,1019,136,34
SHPR,3/15/2021,State,43,57,100,4,9,88,454,6,5,112,298,740,1392,42,6,1038,138,36
SHPR,11/7/2020,State,35,42,77,4,21,82,472,5,5,112,280,730,1392,42,6,1010,137,37
SHPR,11/12/2020,State,39,52,91,4,27,102,475,7,5,112,231,780,1392,42,6,1011,143,31
SHPR,11/6/2020,State,39,38,77,4,27,86,457,9,5,112,261,749,1392,42,6,1010,143,31
SHPR,10/4/2020,State,37,40,77,4,13,88,461,7,6,112,291,725,1392,32,6,1016,137,33
SHPR,5/1/2021,State,47,56,103,4,11,81,487,7,7,112,263,774,1392,35,6,1037,153,21
SHPR,10/26/2020,State,36,41,77,4,23,84,443,13,7,112,290,720,1392,52,6,1010,142,32
SHPR,11/25/2020,State,41,50,91,4,23,90,421,14,7,112,254,770,1392,62,6,1024,149,25
SHPR,10/27/2020,State,38,39,77,4,27,89,493,11,7,112,276,734,1392,46,6,1010,144,30
SHPR,4/30/2021,State,47,56,103,4,31,106,559,7,7,112,229,808,1392,35,6,1037,154,20
SHPR,5/6/2021,State,47,55,102,4,20,105,538,11,8,112,245,791,1392,34,6,1036,144,30
SHPR,3/6/2021,State,37,63,100,4,12,67,440,9,9,112,328,710,1392,49,6,1038,137,37
SHPR,3/7/2021,State,38,62,100,4,15,63,373,9,10,112,346,692,1392,54,6,1038,136,38
